lat,lon,time,kph,km
43.517835,1.503229,"2013/12/08 15:14:48",0,0
43.517848,1.503274,"2013/12/08 15:14:49",14,0.003897
43.517861,1.503319,"2013/12/08 15:14:50",14,0.007793
43.517874,1.503364,"2013/12/08 15:14:51",14,0.01169
43.517887,1.503409,"2013/12/08 15:14:52",14,0.015587
43.5179,1.503453,"2013/12/08 15:14:53",14,0.019484
43.517913,1.503498,"2013/12/08 15:14:54",14,0.02338
43.517926,1.503543,"2013/12/08 15:14:55",14,0.027277
43.517939,1.503588,"2013/12/08 15:14:56",14,0.031174
43.517952,1.503632,"2013/12/08 15:14:57",14,0.03507
43.517966,1.503672,"2013/12/08 15:14:58",12.7,0.038609
43.51798,1.503711,"2013/12/08 15:14:59",12.7,0.042148
43.517994,1.503751,"2013/12/08 15:15:00",12.7,0.045686
43.518009,1.50379,"2013/12/08 15:15:01",12.9,0.04927
43.518024,1.503829,"2013/12/08 15:15:02",12.9,0.052854
43.518039,1.503869,"2013/12/08 15:15:03",12.9,0.056438
43.518054,1.503908,"2013/12/08 15:15:04",12.9,0.060022
43.518069,1.503947,"2013/12/08 15:15:05",12.9,0.063606
43.518084,1.503987,"2013/12/08 15:15:06",12.9,0.06719
43.518099,1.504026,"2013/12/08 15:15:07",12.9,0.070774
43.518114,1.504065,"2013/12/08 15:15:08",12.9,0.074358
43.518129,1.504104,"2013/12/08 15:15:09",12.9,0.077942
43.518144,1.504144,"2013/12/08 15:15:10",12.9,0.081526
43.518159,1.504189,"2013/12/08 15:15:11",14.4,0.085534
43.518174,1.504234,"2013/12/08 15:15:12",14.4,0.089542
43.518189,1.504279,"2013/12/08 15:15:13",14.4,0.09355
43.518204,1.504324,"2013/12/08 15:15:14",14.4,0.097558
43.518219,1.50437,"2013/12/08 15:15:15",14.4,0.101566
43.518231,1.504414,"2013/12/08 15:15:16",13.7,0.105372
43.518243,1.504458,"2013/12/08 15:15:17",13.7,0.109179
